# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
452,0.880,0.057,92.184
453,1.137,0.032,77.274
454,0.890,0.056,132.247
455,1.668,0.021,10.284
456,0.776,0.139,136.850
457,0.925,0.061,84.073
458,0.720,0.066,180.921
459,0.828,0.059,106.234
460,0.930,0.134,78.280
461,1.920,0.024,7.200
462,0.596,0.223,121.225
463,1.301,0.028,28.283
464,1.376,0.046,14.242
465,1.017,0.056,11.705
466,1.143,0.060,31.610
467,1.122,0.080,82.628
468,0.903,0.117,125.392
469,1.600,0.027,15.100
470,0.920,0.054,15.620
471,0.876,0.121,115.533
472,1.550,0.037,11.639
473,0.931,0.047,74.057
474,1.048,0.066,73.952
475,0.811,0.064,194.489
476,1.122,0.039,40.148
477,1.182,0.061,15.504
478,0.805,0.063,195.331
479,0.811,0.061,109.665
480,0.891,0.145,69.390
481,1.349,0.046,21.858
482,0.855,0.119,122.661
483,0.963,0.082,83.418
484,1.210,0.032,26.724
485,0.720,0.071,67.485
486,0.871,0.057,11.410
487,0.850,0.063,64.726
488,1.065,0.040,167.780
489,0.949,0.042,73.674
490,0.860,0.066,71.191
491,1.015,0.040,78.105
492,1.202,0.031,66.936
493,0.763,0.063,227.194
494,0.869,0.046,87.793
495,0.786,0.062,68.923
496,1.136,0.045,23.965
497,0.778,0.075,95.111
498,0.850,0.098,36.763
499,1.066,0.041,108.778
500,0.990,0.049,74.596
501,0.969,0.083,90.437
502,1.010,0.048,17.839
503,0.556,0.157,11.752
504,0.658,0.163,74.734
505,0.850,0.052,46.281
506,0.798,0.163,8.963
507,1.111,0.031,62.301
508,0.971,0.042,76.537
509,1.146,0.037,26.364
510,0.805,0.062,75.746
511,0.758,0.057,12.111
512,1.330,0.028,20.154
513,0.733,0.080,168.033
514,0.742,0.067,75.855
515,0.915,0.045,87.692
516,1.048,0.036,81.946
517,0.798,0.074,125.029
518,1.617,0.021,9.700
519,0.690,0.071,143.510
520,1.001,0.042,104.265
521,0.933,0.055,75.632
522,0.730,0.178,81.318
523,2.371,0.017,4.000
524,1.683,0.019,5.200
525,1.128,0.039,89.925
526,0.860,0.057,155.356
527,1.426,0.026,21.518
528,1.541,0.035,53.634
529,0.561,0.243,133.095
530,1.089,0.057,4.400
531,0.878,0.154,17.000
532,0.723,0.135,92.732
533,0.961,0.136,283.763
534,1.556,0.023,6.200
535,0.644,0.290,
536,1.444,0.060,9.800
537,0.637,0.076,112.286
538,0.853,0.052,93.801
539,1.040,0.074,70.585
540,0.986,0.044,29.138
541,0.751,0.077,97.085
542,0.640,0.074,155.237
543,1.769,0.017,4.000
544,0.930,0.051,106.151
545,1.449,0.041,60.948
546,0.864,0.058,157.032
547,1.288,0.051,21.100
548,0.916,0.047,83.539
549,1.588,0.022,22.300
550,1.263,0.033,90.786
551,1.296,0.033,30.952
552,0.924,0.053,176.298
553,1.153,0.055,91.880
554,0.857,0.054,171.732
555,0.622,0.079,10.952
556,0.771,0.066,10.291
557,0.875,0.058,185.833
558,0.795,0.061,212.650
559,2.022,0.017,4.100
560,0.744,0.064,83.551
561,1.083,0.061,58.108
562,1.058,0.038,27.183
563,0.602,0.090,185.211
564,0.980,0.087,23.399
565,0.782,0.065,158.718
566,1.113,0.049,34.987
567,0.885,0.117,133.899
568,1.013,0.067,135.723
569,1.560,0.031,13.304
570,0.626,0.236,69.527
571,1.112,0.061,33.148
572,1.122,0.038,109.397
573,0.901,0.050,97.733
574,0.796,0.063,147.894
575,1.197,0.034,31.562
576,1.157,0.032,86.721
577,0.707,0.080,12.662
578,0.589,0.242,119.013
579,0.930,0.055,89.958
580,0.848,0.056,84.699
581,1.279,0.028,85.842
582,0.690,0.082,135.123
583,0.885,0.086,121.260
584,0.958,0.076,9.966
585,0.805,0.068,90.223
586,0.895,0.053,92.082
587,0.940,0.105,100.779
588,1.097,0.071,7.700
589,0.647,0.176,239.965
590,1.072,0.040,10.187
591,1.057,0.051,83.250
592,0.705,0.069,85.138
593,1.179,0.034,62.114
594,0.684,0.178,161.855
595,1.193,0.036,125.608
596,0.807,0.065,123.654
597,0.849,0.055,
598,1.090,0.036,89.314
599,1.029,0.046,134.735
600,0.618,0.167,92.743
601,1.019,0.044,89.371
602,0.661,0.212,212.386
603,0.944,0.050,107.543
604,1.561,0.021,22.936
605,1.370,0.032,29.351
606,0.921,0.050,193.188
607,0.812,0.062,124.099
608,0.936,0.048,172.876
609,1.107,0.038,24.104
610,2.380,0.019,6.700
611,0.895,0.057,97.068
612,1.027,0.041,107.633
613,1.218,0.033,139.262
614,1.041,0.045,225.616
615,1.434,0.031,16.370
616,1.117,0.044,81.467
617,0.955,0.052,120.432
618,0.761,0.066,150.418
619,0.770,0.065,120.705
620,0.771,0.143,86.640
